,Articulo_Codigo,Articulo_Nombre,Grupo_Codigo,Grupo_Nombre,Subgrupo_Codigo,Subgrupo_Nombre
392,1759,CERVEZA ALHAMBRA STDO B/6X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
393,79411,CERVEZA S.MIGUEL EST MET B/6X33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
394,79408,CERVEZA GRIMBERGEN 4X33CL+COPA,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
395,4305,CERVEZA 1906 4RED+2BLACK+COPA,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
396,33014,CERVEZA S.MIGUEL 9X33CL+3MAGNA,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
397,83008,"CIDER LADRON DE MANZANAS 0,75L",58,CERVEZAS,8,CIDER
398,73490,CERVEZA DOUGALL'S IPA BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
399,60171,CERVEZA FREE DAMM 0% TOST L/33CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
400,8328,CERVEZA AMSTEL CLASICA 12X33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
401,79413,CERVEZA ESTR.GALICIA L/10X33CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
402,33220,CERVEZA BYRA GAMMA BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
403,18011,CERVEZA BYRA OMEGA BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
404,2392,CERVEZA BYRA ENGEL BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
405,62563,CERVEZA BYRA TEUFEL BT 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
406,85691,CERVEZA DESPERADOS BARRIL 5L,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
407,77223,CERVEZA BREWDOG INDIE PALE 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
408,17963,CERVEZA BREWDOG DEAD PONY 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
409,12693,CERVEZA BOGA LIBRE S/ALCOHOL 20CL,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
410,87798,CERVEZA BAGA BIGA S/GLUTEN  L/33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
411,88249,CERVEZA BAGA BIGA RUSSIAN RED L/33C,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
412,12616,CERVEZA BAGA BIGA GREEN JUNGLEL/33C,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
413,79104,CERVEZA SAN MIGUEL YAKIMA L/33CL,58,CERVEZAS,7,CERVEZAS SOFISTICADAS LATA
414,63086,CERVEZA ALHAMBRA IPA BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
415,63626,CERVEZA EL AGUILA BT.1/4L,58,CERVEZAS,1,CERVEZAS ESTANDAR BT
416,10417,CERVEZA HEINEKEN P/4LX25CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
417,79412,CERVEZA DESPERADOS LIMA BT.33 CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
418,3105,CERVEZA AMBAR AMBICIOSAS BT.33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
419,88216,CERVEZA AMSTEL RADLER 0.0 TOST L/33,58,CERVEZAS,4,"CERVEZAS SIN ALCOHOL 0,0"
420,9229,CERVEZA SELECCION CERVECISTAS 6X33C,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
421,82429,CERVEZA SELECC.LUPULADAS P/6X 33CL,58,CERVEZAS,6,CERVEZAS SOFISTICADAS BT
422,61909,CERVEZA MAHOU 5 EST L/25CL,58,CERVEZAS,2,CERVEZAS ESTANDAR LATA
423,85412,CERVEZA PILSEN YELLOWCAB BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
424,30197,CERVEZA AMBER ALE YELLOWCAB BT.33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
425,30662,CERVEZA AMBER ALE YELLOWCAB BT.75CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
426,12005,CERVEZA YELLOW CAB APA 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
427,74138,CERVEZA YELLOW CAB S/GLUTEN 33CL,58,CERVEZAS,5,CERVEZAS ESPECIALIDADES
